id,title,validation_mode,experience,lesson_header,description,task,dialogue_id,lesson_example,starting_code,requirements,expected_output,created_at,grants,programming_language_id,achievements_id,updated_at,order_index,map_id,dialogue,base_html,quest_type,hints
1,Setting Up,multi_objective,100,🐍 Python (Setting Up),"Welcome to the first chapter of The Legend of Python!

Python is a beginner-friendly programming language created by Guido van Rossum in the early 1990s. It is widely used in Artificial Intelligence, Web Development, Data Analysis, and Machine Learning.

Let's dive in right away!

print() function is use for output statements. 
In common scenario it is use in displaying messages.

Parentheses call the function followed by a statement.

Relax adventurer, we'll study this on the next exercises.
In this exercise, you will use print() to display your first message.",Run the code on the editor.,1,"Welcome to The Legend of Python!
Well done on your 1st exercise.","# PRESS THE RUN BUTTON

print(""Welcome to The Legend of Python!"")
print(""Well done on your "" + ""1st exercise."")","{""objectives"":[{""id"":""use_print"",""type"":""min_print_count"",""label"":""Use the print() function at least twice"",""value"":2}],""validation_mode"":""multi_objective""}",,2026-02-15 16:03:03.011065+00,,1,,2026-02-15 18:37:50.408+00,1,map1,"[{""text"":""Hey adventurer!"",""speaker"":""npc""},{""text"":""Before we begin your journey..."",""speaker"":""npc""},{""text"":""Let me teach you Python 🐍"",""speaker"":""npc""},{""text"":""You'll need Python, the language that once powered Codemania, to help restore the land."",""speaker"":""npc""},{""text"":""Let's start with something simple: printing your first message!"",""speaker"":""npc""},{""text"":""This code will help you begin rebuilding the system. Ready?"",""speaker"":""npc""}]",,cli,"{""concept"":""Use print to display multiple lines."",""structure"":""Write at least two print() statements."",""nearSolution"":""Make sure print() appears 2 or more times in your code.""}"
2,Hello World,multi_objective,100,🐍 Python (Hello World),"Have you notice the output statement print()?
Yes, you're right! 
It is like English language.

Python is designed like that for better readability.
And is using new lines to complete a command.

Try this code on the editor:
  print(""Hello,"") print(""World!"")

This will result an error.
To fix it, you must put each print() in a separate line.
Try fixing it and run it again.

Here is a coding challenge for you adventurer!
To wrap up this exercise Gyahaha!","Write a program that:

Prints your name on one line

Prints your age on another line

Use the print() function for both.",2,"Write a program that:

Prints your name on one line

Prints your age on another line

Use the print() function for both.",# PUT YOUR CODE BELOW,"{""objectives"":[{""id"":""two_prints"",""type"":""min_print_count"",""label"":""Use print() at least twice"",""value"":2},{""id"":""two_lines_output"",""type"":""output_regex"",""label"":""Output must contain exactly two lines"",""value"":""^[^\\n]+\\n[^\\n]+$""},{""id"":""contains_name"",""type"":""output_regex"",""label"":""First line should contain letters"",""value"":""^[A-Za-z ]+""},{""id"":""contains_age"",""type"":""output_regex"",""label"":""Second line should contain a number"",""value"":""\\n\\d+$""}],""validation_mode"":""MULTI_OBJECTIVE""}",,2026-02-15 16:03:03.011065+00,pickaxe,1,,,2,map2,"[{""text"":""The chest remains sealed."",""speaker"":""npc""},{""text"":""Ancient markings glow faintly, as if waiting for recognition."",""speaker"":""npc""},{""text"":""In Codemania, every coder must first announce their presence to the world."",""speaker"":""npc""},{""text"":""Use `print()` to speak the words: Hello World."",""speaker"":""npc""}]",,cli,"{""concept"":""Output format matters: two lines with different data types."",""structure"":""Print name on line 1 and age (number) on line 2."",""nearSolution"":""Use two print() calls; first should contain letters, second should end with digits.""}"
3,Arithmetic Operations,multi_objective,100,🐍 Python (Arithmetic Operations),"Gyahahaha!
Are you surprised in your previous exercise?
Yes, it is possible.

Arithmetic Operations are basic mathematical calculations in Python.
Using basic built-in operators. These include:

  Addition (+): 5 + 3 = 8

  Subtraction (-): 5 - 3 = 2

  Multiplication (*): 5 * 3 = 15

  Division (/): 6 / 3 = 2.0 
  (always returns a float)

  Floor Division (//): 7 // 2 = 3 
  (returns the quotient, rounded down)

  Modulus (%): 7 % 3 = 1 
  (returns the remainder)

  Exponentiation (**): 2 ** 3 = 8 
  (raises a number to a power)


Ready to explore?
What!? You want to program a calculator?
Just kidding. 

Here is your task.","Using the print() function, display the result of the following operations:

5 + 8

20 - 12

4 * 12

15 / 3

7 // 2

7 % 3

2 ** 3

Each operation must be printed on a separate line.",3,"Using the print() function, display the result of the following operations:

5 + 8

20 - 12

4 * 12

15 / 3

7 // 2

7 % 3

2 ** 3

Each operation must be printed on a separate line.",# PUT YOUR CODE BELOW,"{""objectives"":[{""id"":""seven_prints"",""type"":""min_print_count"",""label"":""Use print() at least 7 times"",""value"":7},{""id"":""exact_output"",""type"":""output_equals"",""label"":""Output must exactly match the expected results"",""value"":""13\n8\n48\n5.0\n3\n1\n8""}],""validation_mode"":""MULTI_OBJECTIVE""}",,2026-02-15 16:03:03.011065+00,key,1,,2026-02-15 18:38:43.533+00,3,map3,"[{""text"":""Patterns are everywhere in Codemania."",""speaker"":""npc""},{""text"":""Think of them as the foundation of the mountains, the orderly structure of the world."",""speaker"":""npc""},{""text"":""To begin, you'll need to print a simple pattern of stars."",""speaker"":""npc""},{""text"":""This is no ordinary shape—it’s the beginning of structure that we’ll rebuild together!"",""speaker"":""npc""}]",,cli,"{""concept"":""Use arithmetic operators and print each result line by line."",""structure"":""Compute all required operations and print each in order."",""nearSolution"":""Your output must exactly match 7 lines: 13, 8, 48, 5.0, 3, 1, 8.""}"
4,Initials,multi_objective,100,🐍 Python (Initials),"Let's wrap up everything.
But before that we will explore a little bit.

Try this code:
  print((""Gui"" + ""do "") * 3)

What do you notice? 
It joins ""Gui"" and ""do"" then print thrice.
Joining the String ""Gui and ""do"" together is called concatenation.

The parentheses inside the print() function serves as a grouping expression just like the PEMDAS.
In Python it is called Operator Precedence.

Ready for a challenge?
Let's go!","Concatenate the initials of your name and print them 4 times.

Use only one print() function.
Remember operator precedence… Gyahahaha!",4,"Concatenate the initials of your name and print them 4 times.

Use only one print() function.
Remember operator precedence… Gyahahaha!",# PUT YOUR CODE BELOW,"{""objectives"":[{""id"":""uses_print"",""type"":""code_contains"",""value"":""print""},{""id"":""uses_concatenation"",""type"":""code_contains"",""value"":""+""},{""id"":""uses_repetition"",""type"":""code_contains"",""value"":""*""},{""id"":""single_print"",""type"":""min_print_count"",""value"":1}],""validation_mode"":""multi_objective""}",,2026-02-15 16:03:03.011065+00,,1,16,,4,map4,"[{""text"":""Sometimes, your identity is all you need to start the restoration."",""speaker"":""npc""},{""text"":""Print your initials, and let the world remember who you are."",""speaker"":""npc""},{""text"":""Your initials are the key to unlocking the first part of your memory."",""speaker"":""npc""}]",,cli,"{""concept"":""Strings can be combined and repeated."",""structure"":""Use one print() with concatenation (+) and repetition (*)."",""nearSolution"":""Ensure both + and * are present and at least one print() is used.""}"
5,Introduction to Variables,multi_objective,100,🐍 Python (Variables),"Whatta noice badge you've got!

Let's not waste a precious time of yours adventurer!

Variables are named containers.
They are used to store data values.

Amazing, right? Ohh yeah here's an example:
  name = ""Alex""
  age = 15
  bool = True

Gyahahaha! Now it's your turn adventurer.
Show your knowledge from your previous adventures.

Print the variables using the print() function.","Hint:
Type the example Variables to the editor.

print(variable)",5,"Hint:
Type the example Variables to the editor.

print(variable)",# PUT YOUR CODE BELOW,"{""objectives"":[{""id"":""uses_assignment"",""type"":""code_contains"",""value"":""=""},{""id"":""uses_print"",""type"":""code_contains"",""value"":""print""},{""id"":""prints_variable"",""type"":""code_regex"",""value"":""print\\s*\\(\\s*[a-zA-Z_][a-zA-Z0-9_]*\\s*\\)""}],""validation_mode"":""multi_objective""}",,2026-02-15 16:03:03.011065+00,key,1,,,5,map5,"[{""text"":""Variables are like containers for your knowledge."",""speaker"":""npc""},{""text"":""You can store information in them and use it when needed. Without them, Codemania cannot function."",""speaker"":""npc""},{""text"":""Try storing your name in a variable, then print it to the world!"",""speaker"":""npc""}]",,cli,"{""concept"":""Assign a value to a variable, then print the variable."",""structure"":""Create variable with =, then call print(variable)."",""nearSolution"":""Use print(name)-style syntax (identifier inside print).""}"
6,Strings,mutli_objective,100,🐍 Python (Strings),"You're probably wondering…
As an adventurer, it is only natural to have a strong gut feeling.

And yes — you are absolutely right!

There are different types of variables.

Earlier, you saw something like this:

name = ""Alex""


This is called a String variable, because it stores text.

The single equal sign = is used to assign a value to a variable.

So in the example above:

The variable is name

The value is ""Alex""

The = connects them together

This means the variable name now stores the text ""Alex"".

Amazing, right?

But here’s something even more interesting…

A string variable does not always need to store fixed text.

It can also store text entered by the user!

Python allows us to do this using the input() function.

For example:

name = input(""Enter your name: "")


Now, whatever the user types will be stored inside the variable name.

The variable is no longer fixed — it becomes dynamic!","Challenge Time, Adventurer!

1. Ask the user for their name using input().

2. Store it inside a variable.

3. Print the variable using print().

Let the world know who you are!

Gyahahaha!",6,"Challenge Time, Adventurer!

1. Ask the user for their name using input().

2. Store it inside a variable.

3. Print the variable using print().

Let the world know who you are!

Gyahahaha!",# PUT YOUR CODE BELOW,"{""objectives"":[{""id"":""uses_input"",""type"":""code_contains"",""label"":""Use input() function"",""value"":""input""},{""id"":""assign_variable"",""type"":""code_regex"",""label"":""Store input in a variable"",""value"":""[a-zA-Z_][a-zA-Z0-9_]*\\s*=\\s*input""},{""id"":""uses_print"",""type"":""code_contains"",""label"":""Use print()"",""value"":""print""},{""id"":""prints_variable"",""type"":""code_regex"",""label"":""Print the variable"",""value"":""print\\s*\\(\\s*[a-zA-Z_][a-zA-Z0-9_]*\\s*\\)""}],""validation_mode"":""multi_objective""}",,2026-02-15 16:03:03.011065+00,,1,,,6,map6,"[{""text"":""Strings are like the words you use to communicate in Codemania."",""speaker"":""npc""},{""text"":""They hold the essence of everything—messages, names, and commands."",""speaker"":""npc""},{""text"":""Let’s put together a greeting and combine strings to form meaningful messages."",""speaker"":""npc""}]",,cli,"{""concept"":""Take input, store it, then display it back."",""structure"":""Use input(), assign to variable, print that variable."",""nearSolution"":""Pattern: x = input(...) then print(x).""}"
7,Numbers,multi_objective,100,🐍 Python (Numbers),"Ahhh… I see that confident look in your eyes, adventurer.

You’ve mastered fixed numbers.
You’ve bent arithmetic to your will.
You’ve stored values like a true scholar of Codemania.

But tell me…

What if the numbers don’t come from you?

What if they come from the world itself?

Gyahahaha!

Until now, your numbers were fixed:

a = 5
b = 3


Predictable.
Stable.
Safe.

But a true adventurer does not fear the unknown.

The input() function allows you to receive values from the user.
However… beware!

input() returns text — not numbers!

If you try to add them without preparation, chaos will unfold:

""5"" + ""3"" → ""53""


That is not addition.
That is deception!

To convert text into real numbers, you must use the sacred spell:

int()


Example:

number = int(input(""Enter a number: ""))


Now the value becomes a true numeric variable,
ready for calculations.","Challenge Time, Adventurer!

1. Ask the user to enter two numbers.

2. Convert both inputs into integers.

Print the results of:

 - Addition

 - Subtraction

 - Multiplication

 - Division

Each result must be printed on a new line.

Show Codemania that you command both numbers and the unknown!

Gyahahaha!",7,"Challenge Time, Adventurer!

1. Ask the user to enter two numbers.

2. Convert both inputs into integers.

Print the results of:

 - Addition

 - Subtraction

 - Multiplication

 - Division

Each result must be printed on a new line.

Show Codemania that you command both numbers and the unknown!

Gyahahaha!",# PUT YOUR CODE BELOW,"{""objectives"":[{""id"":""uses_input"",""type"":""code_contains"",""label"":""Use input() function"",""value"":""input""},{""id"":""uses_int_conversion"",""type"":""code_regex"",""label"":""Convert input to integer using int()"",""value"":""\\bint\\s*\\(""},{""id"":""uses_addition"",""type"":""code_contains"",""label"":""Use addition operator (+)"",""value"":""+""},{""id"":""uses_subtraction"",""type"":""code_contains"",""label"":""Use subtraction operator (-)"",""value"":""-""},{""id"":""uses_multiplication"",""type"":""code_contains"",""label"":""Use multiplication operator (*)"",""value"":""*""},{""id"":""uses_division"",""type"":""code_contains"",""label"":""Use division operator (/)"",""value"":""/""},{""id"":""prints_results"",""type"":""min_print_count"",""label"":""Print at least 4 results"",""value"":4}],""validation_mode"":""multi_objective""}",,2026-02-15 16:03:03.011065+00,key,1,,,7,map7,"[{""text"":""Numbers govern the very structure of Codemania."",""speaker"":""npc""},{""text"":""Without them, calculations would be impossible, and logic would fall apart."",""speaker"":""npc""},{""text"":""You’ll need to use numbers to solve puzzles and challenges as you move forward. Start with a simple calculation."",""speaker"":""npc""}]",,cli,"{""concept"":""Convert input to numbers before arithmetic."",""structure"":""Use int(input(...)), perform + - * /, print each result."",""nearSolution"":""Include all four operators and at least 4 print() outputs.""}"
8,Booleans,multi_objective,100,🐍 Python (Boolean),"In Codemania, truth is everything.

There are only two possible paths:

True

False

Nothing in between.
No maybe.
No perhaps.
Only truth… or falsehood.

These are called Boolean values.

When you assign:

isStudent = True


You are creating a Boolean variable.

Remember — Boolean values must be written with a capital letter:

True

False

If you write true or false…
Chaos will follow.

Gyahahaha!","Challenge Time, Adventurer!

1. Create a Boolean variable named isStudent.

2. Assign it either True or False.

3. Print the variable using print().

Let Codemania know the truth!",8,"Challenge Time, Adventurer!

1. Create a Boolean variable named isStudent.

2. Assign it either True or False.

3. Print the variable using print().

Let Codemania know the truth!",# PUT YOUR CODE BELOW,"{""objectives"":[{""id"":""uses_assignment"",""type"":""code_contains"",""label"":""Assign a value using ="",""value"":""=""},{""id"":""uses_boolean"",""type"":""code_regex"",""label"":""Use True or False"",""value"":""\\b(True|False)\\b""},{""id"":""uses_print"",""type"":""code_contains"",""label"":""Use print() function"",""value"":""print""},{""id"":""prints_variable"",""type"":""code_regex"",""label"":""Print the boolean variable"",""value"":""print\\s*\\(\\s*[a-zA-Z_][a-zA-Z0-9_]*\\s*\\)""}],""validation_mode"":""multi_objective""}",,2026-02-15 16:03:03.011065+00,,1,15,,8,map8,"[{""text"":""In Codemania, truth is paramount."",""speaker"":""npc""},{""text"":""Booleans—True or False—determine the flow of everything."",""speaker"":""npc""},{""text"":""You must learn to wield them to decide what happens next. True or False, adventurer, which path will you choose?"",""speaker"":""npc""}]",,cli,"{""concept"":""Booleans are True/False values stored in variables."",""structure"":""Assign a boolean to a variable and print it."",""nearSolution"":""Use True or False and print(variableName).""}"
9,If Statements,multi_objective,100,🐍 Python (Conditional Statements),"Control flow…
It is how Codemania reacts to your decisions.

Until now, your code has executed line by line —
predictable… obedient.

But what if the program must decide?

The if statement allows your code to choose a path.

When a condition evaluates to True,
the code inside the if block runs.

For example:

age = 18

if age >= 18:
    print(""Adult"")


If the condition is true, the message appears.
If not… nothing happens.

Notice:

The comparison operator >=

The colon :

The indentation under the if

These are not optional.
They are the laws of Codemania.","Challenge Time, Adventurer!

1. Create a variable named age.

2. Assign it a number.

3. Write an if statement that checks if age is 18 or older.

4. If the condition is true, print ""Adult"".",9,"Challenge Time, Adventurer!

1. Create a variable named age.

2. Assign it a number.

3. Write an if statement that checks if age is 18 or older.

4. If the condition is true, print ""Adult"".",# PUT YOUR CODE BELOW,"{""objectives"":[{""id"":""uses_assignment"",""type"":""code_contains"",""label"":""Create variable age using ="",""value"":""age""},{""id"":""uses_if"",""type"":""code_contains"",""label"":""Use if statement"",""value"":""if""},{""id"":""uses_comparison"",""type"":""code_regex"",""label"":""Use >= comparison"",""value"":""age\\s*>?=\\s*18""},{""id"":""prints_adult"",""type"":""output_contains"",""label"":""Print Adult when condition is true"",""value"":""Adult""}],""validation_mode"":""multi_objective""}",,2026-02-15 16:03:03.011065+00,key,1,,,9,map9,"[{""text"":""Control flow. It’s how the land reacts to your decisions."",""speaker"":""npc""},{""text"":""An if statement will decide the course of events based on conditions you define."",""speaker"":""npc""},{""text"":""Use your power wisely, adventurer—if you’re ready, your path will open."",""speaker"":""npc""}]",,cli,"{""concept"":""if checks a condition and prints based on true case."",""structure"":""Set age, use if age >= 18, print Adult when true."",""nearSolution"":""Condition should compare age with 18 using >= and print Adult.""}"
10,Else & Elif,multi_objective,100,🐍 Python (Conditional Chains),"The world of Codemania is not always simple.

Sometimes one condition is not enough.

What if the adventurer is not an adult?

Should the program stop?

No.

That is why we use:

if

elif

else

These create a chain of decisions.

But this time… the age will not be fixed.

The user will decide it.

Using input(), you can ask the adventurer for their age.

Remember…

input() returns text.

To compare numbers properly, you must convert it using:

int()


Only then can your logic work correctly.","Challenge Time, Adventurer!

1. Ask the user to enter their age.

2. Convert it into an integer.

3. Use an if-elif-else statement to categorize the age:

3. If age is 18 or older → print ""Adult""

4. If age is 13 or older → print ""Teen""

5. Otherwise → print ""Child""

Choose wisely… the path depends on the number.

Gyahahaha!",10,"Challenge Time, Adventurer!

1. Ask the user to enter their age.

2. Convert it into an integer.

3. Use an if-elif-else statement to categorize the age:

3. If age is 18 or older → print ""Adult""

4. If age is 13 or older → print ""Teen""

5. Otherwise → print ""Child""

Choose wisely… the path depends on the number.

Gyahahaha!",# PUT YOUR CODE BELOW,"{""objectives"":[{""id"":""uses_input"",""type"":""code_contains"",""label"":""Use input() function"",""value"":""input""},{""id"":""uses_int"",""type"":""code_regex"",""label"":""Convert input using int()"",""value"":""\\bint\\s*\\(""},{""id"":""uses_if"",""type"":""code_regex"",""label"":""Use if statement"",""value"":""\\bif\\b""},{""id"":""uses_elif"",""type"":""code_regex"",""label"":""Use elif statement"",""value"":""\\belif\\b""},{""id"":""uses_else"",""type"":""code_regex"",""label"":""Use else statement"",""value"":""\\belse\\b""},{""id"":""prints_category"",""type"":""code_regex"",""label"":""Print Adult, Teen, or Child"",""value"":""print\\s*\\(\\s*['\""](Adult|Teen|Child)['\""]\\s*\\)""}],""validation_mode"":""multi_objective""}",,2026-02-15 16:03:03.011065+00,,1,,,10,map10,"[{""text"":""The world is full of alternatives."",""speaker"":""npc""},{""text"":""What if the first condition doesn’t hold? That’s where else and elif come in."",""speaker"":""npc""},{""text"":""They give you more control over the land, allowing you to handle multiple situations."",""speaker"":""npc""}]",,cli,"{""concept"":""Use conditional branching for multiple categories."",""structure"":""Read age, convert to int, then use if/elif/else."",""nearSolution"":""Print exactly one of: Adult, Teen, Child.""}"
